title,abstract
Toward Secure Multikeyword Top-k Retrieval over Encrypted Cloud Data,"Cloud computing has emerging as a promising pattern for data outsourcing and high-quality data services. However, concerns of sensitive information on cloud potentially causes privacy problems. Data encryption protects data security to some extent, but at the cost of compromised efficiency. Searchable symmetric encryption (SSE) allows retrieval of encrypted data over cloud. In this paper, we focus on addressing data privacy issues using SSE. For the first time, we formulate the privacy issue from the aspect of similarity relevance and scheme robustness. We observe that server-side ranking based on order-preserving encryption (OPE) inevitably leaks data privacy. To eliminate the leakage, we propose a two-round searchable encryption (TRSE) scheme that supports top-k multikeyword retrieval. In TRSE, we employ a vector space model and homomorphic encryption. The vector space model helps to provide sufficient search accuracy, and the homomorphic encryption enables users to involve in the ranking while the majority of computing work is done on the server side by operations only on ciphertext. As a result, information leakage can be eliminated and data security is ensured. Thorough security and performance analysis show that the proposed scheme guarantees high security and practical efficiency."
Improved 16-QAM constellation labeling for BI-STCM-ID with the Alamouti scheme,"We design constellation labeling maps for bit-interleaved space-time coded modulation with iterative decoding (BI-STCM-ID) over Rayleigh block-fading channels using the Alamouti scheme and N/sub r/ receive antennas. To achieve the largest asymptotic coding gain from the constellation labeling, we propose a new design criterion that maximizes the (-2N/sub r/)-th power mean of the squared Euclidean distances associated with all ""error-free feedback"" events in the constellation. Based on this power mean criterion, we show that the labeling optimization problem falls into the category of quadratic assignment problems. We propose two novel 16-QAM labeling maps that are particularly designed for N/sub r/=1 and N/sub r/=2, respectively. Numerical results show that both labeling maps achieve about 1 dB coding gain over the conventional 16-QAM modified set partitioning labeling."
Perfect Output Feedback in the Two-User Decentralized Interference Channel,"In this paper, the    $\eta $   -Nash equilibrium (   $\eta $   -NE) region of the two-user Gaussian interference channel (IC) with perfect output feedback is approximated to within 1 bit/s/Hz and    $\eta $    arbitrarily close to 1 bit/s/Hz. The relevance of the    $\eta $   -NE region is that it provides the set of rate pairs that are achievable and stable in the IC when both transmitter–receiver pairs autonomously tune their own transmit–receive configurations seeking an    $\eta $   -optimal individual transmission rate. Therefore, any rate tuple outside the    $\eta $   -NE region is not stable as there always exists one link able to increase by at least    $\eta $    bits/s/Hz its own transmission rate by updating its own transmit–receive configuration. The main insights that arise from this paper are as follows. First, the    $\eta $   -NE region achieved with feedback is larger than or equal to the    $\eta $   -NE region without feedback. More importantly, for each rate pair achievable at an    $\eta $   -NE without feedback, there exists at least one rate pair achievable at an    $\eta $   -NE with feedback that is weakly Pareto superior. Second, there always exists an    $\eta $   -NE transmit–receive configuration that achieves a rate pair that is at most 1 bit/s/Hz per user away from the outer bound of the capacity region."
A Design and Control Environment for Internet-Based Telerobotics,"This paper describes an environment for the design, simulation, and control of Internet-based force-reflecting telerobotic systems. We define these systems as using a segment of the computer network to connect the master to the slave. Computer networks introduce a time delay that is best described by a time-varying random process. Thus, known techniques for controlling time-delay telerobots are not directly applicable, and an environment for iterative designing and testing is necessary. The underlying software architecture sup ports tools for modeling the delay of the computer network, design ing a stable controller, simulating the performance of a telerobotic system, and testing the control algorithms using a force-reflecting input device. Furthermore, this setup provides data about including the Internet into more general telerobotic control architectures. To demonstrate the features of this environment, the complete proce dure for the design of a telerobotic controller is discussed. First, the delay pa..."
No-flow underfill flip chip assembly--an experimental and modeling analysis,"In the flip-chip assembly process, no-flow underfill materials have a particular advantage over traditional underfill: the application and curing of the former can be undertaken before and during the reflow process. This advantage can be exploited to increase the flip-chip manufacturing throughput. However, adopting a no-flow underfill process may introduce reliability issues such as underfill entrapment, delamination at interfaces between underfill and other materials, and lower solder joint fatigue life. This paper presents an analysis on the assembly and the reliability of flip-chips with no-flow underfill. The methodology adopted in the work is a combination of experimental and computer-modeling methods. Two types of no-flow underfill materials have been used for the flip chips. The samples have been inspected with X-ray and scanning acoustic microscope inspection systems to find voids and other defects. Eleven samples for each type of underfill material have been subjected to thermal shock test and the number of cycles to failure for these flip chips have been found. In the computer modeling part of the work, a comprehensive parametric study has provided details on the relationship between the material properties and reliability, and on how underfill entrapment may affect the thermal–mechanical fatigue life of flip chips with no-flow underfill."
Reflections on designing networked exertion games,"Research in human-computer interaction has begun to acknowledge the benefits of physicality in the way people interact with computers. However, the role of physicality is often understood in terms of the characteristics of physical smart objects and their digital augmentation. We are stressing that the physicality lies within the interaction, not the object, and use a subset of bodily actions, exertion interactions, as an example to demonstrate our point. Emerging game designs have shown that supporting such exertion interactions can enable beneficial experiences between geographically distant participants. Based on several designs from our own work as well as others in this area we articulate reflections for the design of systems that support and facilitate bodily aspects of physicality in networked environments. We believe our work can serve as guidance for designers who are interested in creating future systems that support networked exertion interactions."
Stack-free process-oriented simulation,"The process interaction world view is widely used in the general simulation community for its expressive power, and is supported by most modern simulation languages. In parallel discrete event simulation, however, its use remains comparatively rare due to the perceived inefficiency (and difficulty) of parallel implementations.We present a new implementation strategy for parallel process-oriented simulation languages. This innovative, semantics-based approach directly addresses two common concerns of such languages. By concentrating on the intrinsic threads of control, we avoid the proliferation of simulation objects (and their associated costs) that might result from a naive translation. More fundamentally, the primary costs associated with process-oriented languages -- those of context switching between stacks and, in an optimistic setting, of saving the state of these stacks -- are entirely eliminated since our explicit use of continuations avoids the need for stacks in the first place. We similarly obtain cheap and natural thread preemption."
Network congestion control with Markovian multipath routing,"In this paper we consider an integrated model for TCP/IP protocols with multipath routing. The model combines a Network Utility Maximization for rate control based on end-to-end queuing delays, with a Markovian Traffic Equilibrium for routing based on total expected delays. We prove the existence of a unique equilibrium state which is characterized as the solution of an unconstrained strictly convex program. A distributed algorithm for solving this optimization problem is proposed, with a brief discussion of how it can be implemented by adapting the current Internet protocols."
Motion compensated lossy-to-lossless compression of 4-D medical images using integer wavelet transforms,"This paper proposes a method for progressive lossy-to-lossless compression of four-dimensional (4-D) medical images (sequences of volumetric images over time) by using a combination of three-dimensional (3-D) integer wavelet transform (IWT) and 3-D motion compensation. A 3-D extension of the set-partitioning in hierarchical trees (SPIHT) algorithm is employed for coding the wavelet coefficients. To effectively exploit the redundancy between consecutive 3-D images, the concepts of key and residual frames from video coding is used. A fast 3-D cube matching algorithm is employed to do motion estimation. The key and the residual volumes are then coded using 3-D IWT and the modified 3-D SPIHT. The experimental results presented in this paper show that our proposed compression scheme achieves better lossy and lossless compression performance on 4-D medical images when compared with JPEG-2000 and volumetric compression based on 3-D SPIHT."
A multiuser receiver for code division multiple access communications over multipath channels,"A multiuser communication system is considered where K users share a channel with multipath propagation by using code division for multiple access. Data modulation is carried out by binary phase shift keying and direct sequence spread spectrum signaling. The micro-cellular communication media is modeled as a frequency selective fading channel with multipath propagation. The multipath diversity of the received signals from the K users is exploited by a bank of K RAKE correlators. Algorithms based on the maximum likelihood rule have been developed for estimating the complex channel coefficients as well as for detection of the desired data packets from the sufficient statistics provided by the RAKE correlators. The performance of the resulting multiuser detector is evaluated analytically and via Monte Carlo simulations. The results indicate that the estimator of the channel coefficients has a variance close to the Cramer-Rao lower bound, and that the proposed multiuser detector is capable of eliminating the near-far effect as well as processing the signals propagated through multiple paths. >"
Spatial Synchronization Using Watermark Key Structure,"Recently, we proposed a method for constructing a template for efficient temporal synchronization in video watermarking. 1 Our temporal synchronization method uses a state machine key generator for producing the watermark embedded in successive frames of video. A feature extractor allows the watermark key schedule to be content dependent, increasing the difficulty of copy and ownership attacks. It was shown that efficient synchronization can be achieved by adding temporal redundancy into the key schedule. In this paper, we explore and extend the concepts of our temporal synchronization method to spatial synchronization. The key generator is used to construct the embedded watermark of non-overlapping blocks of the video, creating a tiled structure. 2–4 The autocorrelation of the tiled watermark contains local maxima or peaks with a grid-like structure, where the distance between the peaks indicates the scale of the watermark and the orientation of the peaks indicate the watermark rotation. Experimental results are obtained using digital image watermarks. Scaling and rotation attacks are investigated."
SDG model-based analysis of fault propagation in control systems,"In the area of fault analysis, SDG (Signed Directed Graph) models can be used to describe the system states and the fault propagation paths which are the composition of qualitative deviation from the normal state. In control systems, besides the natural relations caused by the physical properties, the forced control actions determine the dynamic properties of the systems, which cause the particularity of SDG model-based analysis. In this paper, the SDG description and the analysis methods of fault propagation in control systems are presented, and the typical cases like PID control, feedforward control, split-range control, cascade control etc are illustrated. A graphical analysis method is proposed to substitute the algebraic methods based on equations. These results can be expanded to various control systems and even be applied to large-scale industrial systems by the combination and connection of several basic elements."
The distribution of citations from nation to nation on a field by field basis — A computer calculation of the parameters,"Following the methodology established byPrice, this paper analyzes the empirical evidence of citation matrices. Using the data cleaned and tabulated by Computer Horizons, Inc. from the Science Citation Index data banks, it is shown that the non-diagonal elements of the square citation matrices can be accounted for very satisfactorily by assigning each nation a characteristic output and input coefficient in each field measured; the ratio of these coefficients provides a measure of quality. Deviations from this simple model give measures of particular linkage strengths between nations showing some evidence of preferences and avoidances that exist for reason of language, social structure, etc. It is also shown that the diagonal data can be accounted for by the measurable phenomenon that each nation seems to publish partly for the international knowledge system and party for its own domestic purposes. Thus, three parameters and a cluster map can parsimoniously describe the citation data within the limits of random error."
An approach to object-oriented discrete-event simulation of manufacturing systems,"It is shown how the object-oriented approach can be applied to discrete-event simulation and, in particular, to discrete-event simulation of manufacturing systems. A hierarchical structure of object classes is proposed, consisting of three class libraries: base classes, simulation support object classes, and manufacturing systems simulation object classes. The definition of each class and how the class objects interact with one another are discussed. An example of a discrete-event simulation model developed using the object classes is presented. The example illustrates the basic nature, merits, and drawbacks of this approach. >"
Free subcarrier optimization for peak-to-average power ratio minimization in OFDM systems,"Peak-to-average power ratio (PAR) reduction techniques are often employed to increase the power efficiency of orthogonal frequency division multiplexing (OFDM) systems. A recently proposed PAR optimization method demonstrates how the PAR can be minimized when free subcarriers and a certain distortion allowance on the error vector magnitude (EVM) are available. In this paper, we derive the lower bound on the capacity for such a system and investigate the capacity- maximizing number of free subcarriers that should be used."
A spatial mapping algorithm for heterogeneous coarse-grained reconfigurable architectures,"In this work, we investigate the problem of automatically mapping applications onto a coarse-grained reconfigurable architecture and propose an efficient algorithm to solve the problem. We formalize the mapping problem and show that it is NP-complete. To solve the problem within a reasonable amount of time, we divide it into three subproblems: covering, partitioning and layout. Our empirical results demonstrate that our technique produces nearly as good performance as hand-optimized outputs for many kernels."
Market equilibrium via a primal--dual algorithm for a convex program,We give the first polynomial time algorithm for exactly computing an equilibrium for the linear utilities case of the market model defined by Fisher. Our algorithm uses the primal--dual paradigm in the enhanced setting of KKT conditions and convex programs. We pinpoint the added difficulty raised by this setting and the manner in which our algorithm circumvents it.
Enhancement of an Optical Fiber Sensor: Source Separation Based on Brillouin Spectrum,"Distributed optical fiber sensors have gained an increasingly prominent role in structural-health monitoring. These are composed of an optical fiber cable in which a light impulse is launched by an opto-electronic device. The scattered light is of interest in the spectral domain: the spontaneous Brillouin spectrum is centered on the Brillouin frequency, which is related to the local strain and temperature changes in the optical fiber. When coupled with an industrial Brillouin optical time-domain analyzer (B-OTDA), an optical fiber cable can provide distributed measurements of strain and/or temperature, with a spatial resolution over kilometers of 40 cm. This paper focuses on the functioning of a B-OTDA device, where we address the problem of the improvement of spatial resolution. We model a Brillouin spectrum measured within an integration base of 1 m as the superposition of the elementary spectra contained in the base. Then, the spectral distortion phenomenon can be mathematically explained: if the strain is not constant within the integration base, the Brillouin spectrum is composed of several elementary spectra that are centered on different local Brillouin frequencies. We propose a source separation methodology approach to decompose a measured Brillouin spectrum into its spectral components. The local Brillouin frequencies and amplitudes are related to a portion of the integration base where the strain is constant. A layout algorithm allows the estimation of a strain profile with new spatial resolution chosen by the user. Numerical tests enable the finding of the optimal parameters, which provides a reduction to 1 cm of the 40-cm spatial resolution of the B-OTDA device. These parameters are highlighted during a comparison with a reference strain profile acquired by a 5-cm-resolution Rayleigh scatter analyzer under controlled conditions. In comparison with the B-OTDA strain profile, our estimated strain profile has better accuracy, with centimeter spatial resolution."
Intra dynamic scenario relations and a dynamic decision making algorithm,"In this paper we present the composition of a general dynamic scenario, the relations of its components and a dynamic making algorithm called ECA (Evaluation and Correction Algorithm). The paper proposes three relations, namely, stable relation, controllable relation and uncontrollable relation. Numerical results are given by some simple dynamic scenarios."
PGMRA: a web server for (phenotype × genotype) many-to-many relation analysis in GWAS,"It has been proposed that single nucleotide polymorphisms (SNPs) discovered by genome-wide association studies (GWAS) account for only a small fraction of the genetic variation of complex traits in human population. The remaining unexplained variance or missing heritability is thought to be due to marginal effects of many loci with small effects and has eluded attempts to identify its sources. Combination of different studies appears to resolve in part this problem. However, neither individual GWAS nor meta-analytic combinations thereof are helpful for disclosing which genetic variants contribute to explain a particular phenotype. Here, we propose that most of the missing heritability is latent in the GWAS data, which conceals intermediate phenotypes. To uncover such latent information, we propose the PGMRA server that introduces phenomics—the full set of phenotype features of an individual—to identify SNP-set structures in a broader sense, i.e. causally cohesive genotype‐ phenotype relations. These relations are agnostically identified (without considering disease status of the subjects) and organized in an interpretable fashion. Then, by incorporating a posteriori the subject status within each relation, we can establish the risk surface of a disease in an unbiased mode. This approach complements—instead of replaces— current analysis methods. The server is publically available at http://phop.ugr.es/fenogeno."
Parallel Lanczos bidiagonalization for total least squares filter in robot navigation,"In the robot navigation problem, noisy sensor data must be filtered to obtain the best estimate of the robot position. The discrete Kalman filter, which usually is used for prediction and detection of signals in communication and control problems has become a commonly used method to reduce the effect of uncertainty from the sensor data. However, due to the special domain of robot navigation, the Kalman approach is very limited. The use of total least squares filter has been proposed (Boley and Sutherland, 1993) which is capable of converging with many fewer readings and achieving greater accuracy than the classical Kalman filter. The main disadvantage of those approaches is that they can not deal with the case where the noise subspace is of dimension higher than one. Here a parallel Krylov subspace method on parallel distributed memory computers which uses the Lanczos bidiagonalization process with updating techniques is proposed which is more computationally attractive to solve the total least squares problems. The parallel algorithm is derived such that all inner products of a single iteration step are independent. Therefore, the cost of global communication which represents the bottleneck of the parallel performance on parallel distributed memory computers can be significantly reduced. This filter is very promising for very large data information and from our very preliminary experiments we can obtain more precise accuracy and better speedup."
Bit and power loading for the multiband impulse radio UWB architecture,"In this paper we present two different bit and power loading algorithms for the non-coherent multiband impulse UWB architecture. The first one is a very simple threshold based bit loading algorithm and an extension of the detect and avoid (DAA) algorithm presented in [1]. The second one is a more powerful algorithm, enabling also power loading. These algorithms allow a more efficient and flexible spectrum use, higher data rates and use less transmission power. The bit error rate performance is significantly improved. Both algorithms support inherent powerful DAA."
Intelligent decision system and its application in business innovation self assessment,"In this paper, it is described how a multiple criteria decision analysis software tool, the Intelligent Decision System (IDS), can be used to help business self-assessment. Following a brief outline of a model for assessing business innovation capability and the IDS software, the process of using IDS to implement different types of assessment questions is discussed. It is demonstrated that IDS is a flexible tool capable of handling different types of data in self-assessment, including uncertain and incomplete data, and providing a wide range of information including scores, performance diversity, strength and weakness profile and graphics."
Cold delay defect screening,"Delay defects can escape detection during the normal production test flow; particularly if they do not affect any of the long paths included in the test flow. Some delay defects can have their delay increased, making them easier to detect, by carrying out the test with a very low supply voltage (VLV testing). However, VLV testing is not effective for delay defects caused by high resistance interconnects. This paper presents a screening technique for such defects. This technique, cold testing, relies on carrying out the test at low temperature. One particular type of defect, silicide open, is analyzed and experimental data are presented to demonstrate the effectiveness of cold testing."
Knowledge representation for conceptual simulation modeling,"Simulation is a powerful tool that helps decision makers in business and industry to solve difficult and complex problems, reduce cost, improve quality and productivity, and shorten time-to-market. However the technology is still underutilized in many applications due to several reasons. In this study we address these issues using a knowledge engineering approach, i.e. develop efficient and robust models and formats to capture, represent and organize the knowledge for developing conceptual simulation models that can be generalized and interfaced with different applications and implementation tools. The research fits into a larger project effort that aims to create a sustained research program on knowledge-based simulation."
An application-level implementation of causal timestamps and causal ordering,"Maintenance of causality information in distributed systems has previously been implemented in the communications infrastructure with the focus on providing reliability and availability for distributed services. While this approach has a number of advantages, moving causality information up into the view and control of the application programmer is useful, and in some cases, preferable. In an experiment at the University of Queensland, libraries to support application-level maintenance of causality information have been implemented. The libraries allow the collection and use of causality information under programmer control, supplying a basis for making causal dependency information available for application management and troubleshooting. The libraries are also unique in supporting existing distributed systems based on the remote procedure call paradigm. This paper describes the underlying theory of causality, and the design and implementation of the libraries. An event reporting service example is used to motivate the approach, and a number of previously unresolved practical problems are addressed in the design process."
A high-quality multirate real-time CELP coder,"The design and implementation of a real-time CELP coder for mobile communication applications are discussed. To realize a single-chip implementation, several tradeoffs were made without compromising speech quality. In addition, techniques that make the coder more robust under a variety of channel conditions are discussed. The real-time coder can be operated at different bit rates (8, 6.8, 4.6 kb/s) by simply changing the frame update rates. The speech quality was evaluated through a formal listening test, and it was found that this coder compares favorably with other (standardized) coders operating at similar or higher rates. >"
Weighted least squares training of support vector classifiers leading to compact and adaptive schemes,"An iterative block training method for support vector classifiers (SVCs) based on weighted least squares (WLS) optimization is presented. The algorithm, which minimizes structural risk in the primal space, is applicable to both linear and nonlinear machines. In some nonlinear cases, it is necessary to previously find a projection of data onto an intermediate-dimensional space by means of either principal component analysis or clustering techniques. The proposed approach yields very compact machines, the complexity reduction with respect to the SVC solution is especially notable in problems with highly overlapped classes. Furthermore, the formulation in terms of WLS minimization makes the development of adaptive SVCs straightforward, opening up new fields of application for this type of model, mainly online processing of large amounts of (static/stationary) data, as well as online update in nonstationary scenarios (adaptive solutions). The performance of this new type of algorithm is analyzed by means of several simulations."
A distributed parallel approach for BGP routing table partitioning in next generation routers,"The rapid growth of routing tables represents a major challenge facing the scalability of BGP and indeed the whole Internet infrastructure. In this paper, we introduce a novel distributed algorithmic scheme for partitioning the BGP routing table on multiple controller cards, where we exploit parallelism to enhance both the lookup speed and the scalability of the RIB (Routing Information Base). The proposed scheme increases the lookup performance by letting unrelated tasks, such as the Best Match Prefix (BMP) lookup and the BGP decision process to be executed in parallel at different controller cards. Simulations show that our proposal outperforms classical central lookup mechanisms with a reasonably acceptable cost, while it increases considerably the space scalability of the BGP routing table."
Fast committee machines for regression and classification,"In many data mining applications we are given a set of training examples and asked to construct a regression machine or a classifier that has low prediction error or low error rate on new examples, respectively. An important issue is speed especially when there are large amounts of data. We show how both classification and prediction error can be reduced by using boosting techniques to implement committee machines. In our implementation of committees using either classification trees or regression trees, we show how we can trade off speed against either error rate or prediction error."
Maximum-likelihood detection of nonlinearly distorted multicarrier symbols by iterative decoding,"This paper proposes a new method for decoding multicarrier symbols with severe nonlinear distortion. The first part evaluates mutual information expressions for practical nonlinear models and shows the performance bounds for commonly used receiver structures. Then, we derive the maximum-likelihood (ML) sequence estimator, which unfortunately has an exponential complexity due to the nonlinear distortion. This extremely large complexity can be reduced with a simple algorithm that iteratively estimates the nonlinear distortion, thereby reducing the exponential ML to the standard ML without nonlinear distortion. The proposed method can be used to reduce the peak-to-average power ratio of multicarrier signals by clipping the transmit sequence. It can also be used to correct any nonlinear distortion present in transmitter/receiver amplifiers that are operating close to saturation."
Pricing Longevity Bonds Based on Stochastic Mortality Forecasting by Panel Data Procedures,"In order to hedge the longevity risk, longevity bonds are designed, whose payoff structure depends on the changes in mortality. To forecast the mortality more precisely, we use a time-dynamic stochastic model by utilizing a panel data approach to forecast the mortality rates and get a survival index. Empirical study is conducted with the data in China. Then we apply these forecasting mortality rates to evaluate one kind of longevity bond. It turns out that it is reliable for the social security systems and the life insurance industry."
Partitions and Edge Colourings of Multigraphs,"Erdős and Lovasz conjectured in 1968 that for every graph $G$ with $\chi(G)>\omega(G)$ and any two integers $s,t\geq 2$ with $s+t=\chi(G)+1$, there is a partition $(S,T)$ of the vertex set $V(G)$ such that $\chi(G[S])\geq s$ and $\chi(G[T])\geq t$. Except for a few cases, this conjecture is still unsolved. In this note we prove the conjecture for line graphs of multigraphs."
Robust Adaptive Fuzzy Sliding Mode Control for a Class of Uncertain Nonlinear Systems with Unknown Dead-Zone,"In this paper, a robust adaptive fuzzy sliding mode control scheme is presented for a class of uncertain nonlinear systems preceded by an unknown dead-zone. Dead-zone characteristics are quite commonly encountered in actuators, such as hydraulic and pneumatic valves, electric servomotors, and electronic circuits, etc. Therefore, by using a description of a dead-zone and exploring the properties of this dead-zone model intuitively and mathematically, a robust adaptive fuzzy sliding control method is presented without constructing the dead-zone inverse. The unknown nonlinear functions of the plant are approximated by the fuzzy logic system according to some adaptive laws. Based on Lyapunov stability theorem and the theory of variable structure control, the proposed robust adaptive fuzzy sliding mode control scheme can guarantee the robust stability of the whole closed-loop system with an unknown dead-zone in the actuator and obtain good tracking performance as well. Finally, an example and simulation results are provided to illustrate the effectiveness of the proposed method."
Tracer kinetic modeling by morales-smith hypothesis in hepatic perfusion CT,"Most of the existing tracer kinetic models for dynamic contrast-enhanced CT or MRI do not fully describe the principles of intra- and transcapillary transport of tracers. One point is to disregard the concentration profiles between the inlets and outlets of capillaries, which may cause a biased estimation of tissue parameters by a systematic error. The Morales-Smith hypothesis enables one to resolve this ambiguity by assuming that the difference between arterial and venous concentrations is proportional to the difference between the arterial and capillary concentrations. If the backflow of administered tracer into the plasma compartment is negligible compared to its outflow into the interstitial compartment during the initial enhancement phase after tracer administration, the capillary concentration can be considered to fall exponentially along the capillary from the arterial concentration to the venous concentration by the Renkin-Crone model, i.e., unidirectional extraction fraction, which can be incorporated in the concept of the Morales-Smith hypothesis. In this study, we reformed the mass-balance equations and mathematical solutions of several representative and well-known tracer kinetic models so that the Morales-Smith hypothesis could be incorporated into their compartment tracer kinetics, considering a tissue-specific factor independent of time as proposed by Brix et al. [5]. The tissue-specific factor was applied to a liver tumor case study in perfusion CT to illustrate the potential effectiveness of the Morales-Smith hypothesis. The proposed scheme was shown to be potentially useful for more consistent and reliable estimation of physiologic tissue parameters."
Algorithm for decomposing an analytic signal into AM and positive FM components,"An analytic signal permits unambiguous characterization of the phase and envelope of a real signal. But the analytic signal's phase-derivative, i.e. the instantaneous frequency (IF) is typically a wild function and can take on values ranging from negative infinity to positive infinity. Fortunately, any analytic signal can be decomposed into a minimum phase (MinP) signal component and an all-phase (AllP) signal component. While the MinP signal's log-envelope and its phase form a Hilbert transform pair, the AllP signal has a positive definite instantaneous frequency (PIF) unlike that of the original analytic signal. We propose an elegant computational algorithm that separates the MinP and AllP components of the analytic signal. The envelope of the MinP component corresponds to the AM and the PIF of the AllP component corresponds to the positive FM."
Processing nested complex sequence pattern queries over event streams,"Complex event processing (CEP) has become increasingly important for tracking and monitoring applications ranging from health care, supply chain management to surveillance. These monitoring applications submit complex event queries to track sequences of events that match a given pattern. As these systems mature the need for increasingly complex nested sequence queries arises, while the state-of-the-art CEP systems mostly focus on the execution of flat sequence queries only. In this paper, we now introduce an iterative execution strategy for nested CEP queries composed of sequence, negation, AND and OR operators. Lastly we have introduced the promising direction of applying selective caching of intermediate results to optimize the execution. Our experimental study using real-world stock trades evaluates the performance of our proposed iterative execution strategy for different query types."
Learning Top-Down Grouping of Compositional Hierarchies for Recognition,"The complexity of real world image categorization and scene analysis requires compositional strategies for object representation. This contribution establishes a compositional hierarchy by first performing a perceptual bottom-up grouping of edge pixels to generate salient contour curves. A subsequent recursive top-down grouping yields a hierarchy of compositions. All entities in the compositional hierarchy are incorporated in a Bayesian network that couples them together by means of a shape model. The probabilistic model underlying top-down grouping as well as the shape model is learned automatically from a set of training images for the given categories. As a consequence, compositionality simplifies the learning of complex category models by building them from simple, frequently used compositions. The architecture is evaluated on the highly challenging Caltech 101 database1 which exhibits large intra-category variations. The proposed compositional approach shows competitive retrieval rates in the range of 53 .0 ± 0 .49%."
On the energy-efficiency of speculative hardware,"Microprocessor trends are moving towards wider architectures and more aggressive speculation. With the increasing transistor budgets, energy consumption has become a critical design constraint. To address this problem, several researchers have proposed and evaluated energy-efficient variants of speculation mechanisms. However, such hardware is typically evaluated in isolation and its impact on the energy consumption of the rest of the processor, for example, due to wrong-path executions, is ignored. Moreover, the available metrics that would provide a thorough evaluation of an architectural optimization employ somewhat complicated formulas with hard-to-measure parametersIn this paper, we introduce a simple method to accurately compare the energy-efficiency of speculative architectures. Our metric is based on runtime analysis of the entire processor chip and thus captures the energy consumption due to the positive as well as the negative activities that arise from the speculation activities. We demonstrate the usefulness of our metric on the example of value speculation, where we found some proposed value predictors, including low-power designs, not to be energy-efficient"
A new clutter rejection algorithm for Doppler ultrasound,"Several strategies, known as clutter or wall Doppler filtering, were proposed to remove the strong echoes produced by stationary or slow moving tissue structures from the Doppler blood flow signal. In this study, the matching pursuit (MP) method is proposed to remove clutter components. The MP method decomposes the Doppler signal into wavelet atoms that are selected in a decreasing energy order. Thus, the high-energy clutter components are extracted first. In the present study, the pulsatile Doppler signal s(n) was simulated by a sum of random-phase sinusoids. Two types of high-amplitude clutter signals were then superimposed on s(n): time-varying low-frequency components, covering systole and early diastole, and short transient clutter signals, distributed within the whole cardiac cycle. The Doppler signals were modeled with the MP method and the most dominant atoms were subtracted from the time-domain signal s(n) until the signal-to-clutter (S/C) ratio reached a maximum. For the low-frequency clutter signal, the improvement in S/C ratio was 19.0 /spl plusmn/ 0.6 dB, and 72.0 /spl plusmn/ 4.5 atoms were required to reach this performance. For the transient clutter signal, ten atoms were required and the maximum improvement in S/C ratio was 5.5 /spl plusmn/ 0.5 dB. The performance of the MP method was also tested on real data recorded over the common carotid artery of a normal subject. Removing 15 atoms significantly improved the appearance of the Doppler sonogram contaminated with low-frequency clutter. Many more atoms (over 200) were required to remove transient clutter components. These results suggest the possibility of using this signal processing approach to implement clutter rejection filters on ultrasound commercial instruments."
Causal time series analysis of functional magnetic resonance imaging data,"This review focuses on dynamic causal analysis of functional magnetic resonance (fMRI) data to infer brain connectivity from a time series analysis and dynamical systems perspective. Causal influence is expressed in the Wiener-Akaike-Granger-Schweder (WAGS) tradition and dynamical systems are treated in a state space modeling framework. The nature of the fMRI signal is reviewed with emphasis on the involved neuronal, physiological and physical processes and their modeling as dynamical systems. In this context, two streams of development in modeling causal brain connectivity using fMRI are discussed: time series approaches to causality in a discrete time tradition and dynamic systems and control theory approaches in a continuous time tradition. This review closes with discussion of ongoing work and future perspectives on the integration of the two approaches."
Medium access control in ad hoc networks with MIMO links: optimization considerations and algorithms,"we present a medium access control (MAC) protocol for ad hoc networks with multiple input multiple output (MIMO) links. MIMO links provide extremely high spectral efficiencies in multipath channels by simultaneously transmitting multiple independent data streams in the same channel. MAC protocols have been proposed in related work for ad hoc networks with other classes of smart antennas such as switched beam antennas. However, as we substantiate in the paper, the unique characteristics of MIMO links coupled with several key optimization considerations, necessitate an entirely new MAC protocol. We identify several advantages of MIMO links, and discuss key optimization considerations that can help in realizing an effective MAC protocol for such an environment. We present a centralized algorithm called stream-controlled medium access (SCMA) that has the key optimization considerations incorporated in its design. Finally, we present a distributed SCMA protocol that approximates the centralized algorithm and compare its performance against that of baseline protocols that are CSMA/CA variants."
Design and Implementation of Physical Layer Private Key Setting for Wireless Networks,"Due to the enormous spreading of applied wireless networks, security is actually one of the most important issues for telecommunications. One of the main issue in the field of securing wireless information exchanging is the initial common knowledge between source and destination. A shared secret is normally mandatory in order to decide the encryption (algorithm or code or key) of the information stream. It is usual to exchange this common a priori knowledge by using a ""secure"" channel. Now a days a secure wireless channel is not possible. In fact normally the common a priori knowledge is already established (but this is not secure) or by using a non-radio channel (that implies a waste of time and resource). This contribution deals with the proposal of a new modulation technique ensuring secure communication in a full wireless environment. The information is modulated, at physical layer, by the thermal noise experienced by the link between two terminals. A loop scheme is designed for unique recovering of mutual information. The probability of error/detection is analytically derived for the legal users and for the third unwanted listener. The proposed scheme has also been implemented in a Xilinx Virtex II FPGA.#R##N##R##N#All the results show that the performance of the proposed scheme yields the advantage of intrinsic security, i.e., the mutual information cannot be physically demodulated (passive attack) or denied (active attack) by a third terminal, leading us to conclude that the proposed technique is really useful for private key distribution in every wireless network."
