title_processed,abstract_processed
designing hardware with dynamic memory abstraction,recent progress in program_analysis has produced tools that are able to compute upper bounds on the use of dynamic memory this opens up a space for the use of dynamic memory abstraction in highlevel synthesis in this paper we explain how to design hardware using c_programs with  malloc  and  free  a compilation process is outlined for transforming c_programs with heap operations into a hardware description language as demonstrated by our experiments this approach is feasible further automatic_parallelization of the generated circuits improves by a factor up to 19 in terms of clock_frequency and a factor up to 27 in terms of clock_cycles over the previous work
a new dynamic ovsf code allocation method based on adaptive simulated_annealing genetic_algorithm asaga,orthogonal variable spreading factor ovsf codes are widely used to provide variable data rates for supporting different bandwidth requirements in wideband code_division_multiple_access wcdma systems many works in the literature have intensively investigated to find an optimal dynamic code assignment scheme for ovsf codes unlike earlier studies which assign ovsf codes using conventional cca or dynamic dca code allocation schemes in this paper adaptive simulated_annealing genetic_algorithm asaga was applied which population is adaptively constructed according to existing traffic density in the ovsf codetree also the influences of the asaga parameters selection crossover_and_mutation techniques and cooling schedules were examined on the dynamic ovsf code allocation problem the simulation results show that the asaga provides reduced code blocking_probability and improved spectral_efficiency in the system when compared to the cca and dca schemes asaga is also tested with its components sa and ga
an analysis of multicast forwarding state scalability,scalability of multicast forwarding state is likely to be a major issue facing interdomain multicast deployment we present a comprehensive analysis of the multicast forwarding state problem our goal is to understand the scaling trends of multicast forwarding state in the internet and to explore the intuitions that have motivated state reduction research we conducted simulation experiments on both real and generated network topologies with a range of parameters driven by multicast_application characteristics we found that the increase in peering among internet backbone networks has led to more multicast forwarding state at a handful of core domains but less state in the rest of the domains we observed that scalability of multicast forwarding state with respect to session size follows a power law our findings show that distribution and concentration of multicast forwarding state in the internet is significantly impacted by the application characteristics we investigated the proposals on nonbranching multicast forwarding state elimination and found substantial reduction is attainable even with very dense multicast_sessions
customized interface generation model based on knowledge and template for web service,with the development of serviceoriented architecture more and more researches have provided automatic and semiautomatic approaches to enduser users can construct their own applications with web services however it is hard for most endusers to customize the interfaces of applications with current service_composition methods to address this issue an interface generation model was proposed to provide customized user_interface and interaction workflow in this model knowledge was involved to instruct the workflow of interaction templates were adopted to describe the user_interface some significant points such as user definition data profile user interaction workflow interface description were discussed in detail a prototype system was implemented some demos have been shown to verify the customized interface generation model with this model endusers can define the interfaces and interaction workflows of web services with rules and templates it supplies the gap of user_interface in service_composition compared with the current interface generation in service_composition the proposed model is more flexible and more effective for endusers
petri_nets and ontologies tools for the learning player assessment in serious games,serious games are now an increasingly used tool in business training the question of the effectiveness of such devices on learning is a research issue the indicators provided at the end of a video_game are insufficient to understand and follow the path of a learning player it is therefore necessary to track not only the players actions but also to provide tools in order to analyze and diagnose the knowledge_acquisition of the learner we developed an approach based on petri_nets used to model the accurate behavior of the player we complete this tool with ontology to explain learners mistakes
epileptic eeg_classification based on kernel sparse representation,the automatic_identification of epileptic eeg_signals is significant in both relieving heavy workload of visual_inspection of eeg recordings and treatment of epilepsy this paper presents a novel method based on the theory of sparse representation to identify epileptic eegs at first the raw eeg epochs are preprocessed via gaussian low pass filtering and differential operation then in the scheme of sparse representation based classification src a test eeg sample is sparsely represented on the training_set by solving l1minimization problem and the represented residuals associated with ictal and interictal training_samples are computed the test eeg sample is categorized as the class that yields the minimum represented residual so unlike the conventional eeg classification_methods the choice and calculation of eeg features are avoided in the proposed framework moreover the kernel_trick is employed to generate a kernel version of the src method for improving the separability between ictal and interictal classes the satisfactory recognition accuracy of 9863 for ictal and interictal eeg_classification and for ictal and normal eeg_classification has been achieved by the kernel src in addition the fast speed makes the kernel src suit for the realtime seizure monitoring application in the near future
selfimmunity technique to improve register file integrity against soft_errors,continuous shrinking in feature size increasing power density etc increase the vulnerability of microprocessors against soft_errors even in terrestrial applications the register file is one of the essential architectural components where soft_errors can be very mischievous because errors may rapidly spread from there throughout the whole system thus register files are recognized as one of the major concerns when it comes to reliability this paper introduces selfimmunity a technique that improves the integrity of the register file with respect to soft_errors based on the observation that a certain number of register bits are not always used to represent a value stored in a register this paper deals with the difficulty to exploit this obvious observation to enhance the register file integrity against soft_errors we show that our technique can reduce the vulnerability of the register file considerably while exhibiting smaller overhead in terms of area and power consumption compared to stateoftheart in register file protection
measuring semantic associaiton in domain_ontology,in domain_ontology semantic association sa is used to depict the correlation between two concepts in this paper we define semantic association degree sad for measuring sa in the domain_ontology we first present a method to measure sad of two direct related concepts by evaluating the semantic relationship between them and then give another method to measure sad of two indirect related concepts though sad of two directed neighboring concepts a set of comparison experiments show the benefit of our approaches
the h index and the number of citations two fuzzy_integrals,in this paper we review two of the most wellknown citation indexes and establish their connections with the choquet and sugeno_integrals in particular we show that the recently established hindex is a particular case of the sugeno_integral and that the number of citations corresponds to the choquet_integral in both cases they use the same fuzzy_measure the results presented here permit one to envision new indexes defined in terms of fuzzy_integrals using other types of fuzzy_measures a few considerations in this respect are also included in this paper indexes for taking into account recent research and the publisher credibility are outlined
the soft_error problem an architectural perspective,radiationinduced soft_errors have emerged as a key challenge in computer_system design if the industry is to continue to provide customers with the level of reliability they expect microprocessor architects must address this challenge directly this effort has two parts first architects must understand the impact of soft_errors on their designs second they must select judiciously from among available techniques to reduce this impact in order to meet their reliability targets with minimum overhead to provide a foundation for these efforts this paper gives a broad overview of the soft_error problem from an architectural perspective we start with basic definitions followed by a description of techniques to compute the soft_error_rate then we summarize techniques used to reduce the soft_error_rate this paper also describes problems with doublebit errors finally this paper outlines future directions for architecture research in soft_errors
a 55ghz 1mw fullmodulusrange programmable frequency divider in 90nm cmos process,operating up to 55 ghz with 1mw power consumption a 90nm cmos programmable frequency divider with eight stages of new static dflipflopbased 21 divider cells is presented where the supply voltage of 10 v is employed the divider achieves a full modulus range from 1 to 256 and operates over a wide range maintaining up to 4 ghz with 30dbm input power the divider also accomplishes a power efficiency of 128 ghzmw with 05v supply voltage it is favorable for advanced processes
space curve recognition based on the wavelet_transform and stringmatching techniques,a technique for representing and recognising 3d or space curves is presented in the proposed algorithm the space curves are represented by a set of two zerocrossing representations which are constructed based on the dyadic wavelet_transform these representations are then described in the form of an ordered set of complex numbers which is referred to as the compact representation of the space curves a stringmatching technique is adapted for comparing two curves using their compact representations experimental results show that the proposed technique can be used for recognising space curves under similarity_transformation with and without additive_noise
five weeks in the robot house exploratory humanrobot interaction trials in a domestic setting,this paper presents five exploratory trials investigating scenarios likely to occur when a personal robot shares a home with a person the scenarios are a human and robot working on a collaborative task a human and robot sharing a physical space in a domestic setting a robot recording and revealing personal_information a robot interrupting a human in order to serve them and finally a robot seeking assistance from a human through various combinations of physical and verbal cues findings indicate that participants attribute more blame and less credit to a robot than compared to themselves when working together on a collaborative task safety is a main concern when determining participants comfort when sharing living space with their robot findings suggest that the robot should keep its interruption of the users activities to a minimum participants were happy for the robot to store information which is essential for the robot to improve its functionality however their main concerns were related to the storing of sensitive information and security measures to safeguard such information
workstation based parallel test_generation,generation of test_vectors for the vlsi devices used in contemporary digital system is becoming much more difficult as these devices increase in size automatic_test_pattern_generation atpg techniques are commonly used to generate these tests since atpg is an np complete problem with complexity exponential to circuit size the application of parallel_processing techniques to accelerate the process of finding test patterns is an active area of research this paper presents an approach to parallelization of the test_generation problem that is targeted to a networkofworkstations environment the system is based upon partitioning of the fault list across multiple processors and includes enhancements designed to address the main drawbacks of this technique namely unequal load balancing and generation of redundant vectors the technique is generalized enough that it can be applied to any test_generation system regardless of the atpg or fault_simulation algorithm employed results were gathered to determine the impact of workstation processing load and network communications load on the performance of the system 
classroom presenter enhancing interactive education with digital ink,classroom presenter is a tablet pcbased interaction system that supports the sharing of digital ink on slides between instructors and students initial deployments show that using the technology can achieve a wide range of educational goals and foster a more participatory classroom environment
two oddsradiobased text classification_algorithms,since 1990s the exponential growth of theseweb documents has led to a great deal of interestin developing efficient tools and software toassist users in finding relevant information textclassification has been proved to be useful inhelping organize and search text information onthe web although there have been existed anumber of text classification_algorithms most ofthem are either inefficient or too complex in thispaper we present two oddsradiobased textclassification algorithms which are called orand tfor respectively we have evaluated ouralgorithm on two text collections and compared itagainst knn and svm experimental resultsshow that or and tfor are competitive withknn and svm furthermore or and tfor ismuch simpler and faster than them the resultsalso indicate that it is not tf but relevancefactors derived from odds radio that play thedecisive role in document_categorization
congestion adaptive_routing in mobile_ad_hoc_networks,mobility channel error and congestion are the main causes for packet_loss in mobile_ad_hoc_networks reducing packet_loss typically involves congestion_control operating on top of a mobility and failure adaptive_routing protocol at the network layer in the current designs routing is not congestionadaptive routing may let a congestion happen which is detected by congestion_control but dealing with congestion in this reactive manner results in longer delay and unnecessary packet_loss and requires significant overhead if a new route is needed this problem becomes more visible especially in largescale transmission of heavy traffic such as multimedia_data where congestion is more probable and the negative impact of packet_loss on the service_quality is of more significance we argue that routing should not only be aware of but also be adaptive to network_congestion hence we propose a routing_protocol crp with such properties our ns2 simulation results confirm that crp improves the packet_loss_rate and endtoend delay while enjoying significantly smaller protocol overhead and higher energy efficiency as compared to aodv and dsr
implementation and evaluation for dependable bus control using cpld,bus systems are used in computers as essential architecture and dependability of bus systems should be accomplished reasonably for various applications in this paper we will present dependable bus operations with actual implementation and evaluation by cpld most of the bus systems control transition of some classified phases with synchronous clock or guard time to avoid incorrect phase transition however these phase control methods may degrade system performance or cause incorrect operations we design an asynchronous sequential circuit for bus phase control without clock or guard time this circuit prevents incorrect phase transition at the time when large input delay or erroneous input occurs we estimate probability of incorrect phase transition with single stuckat fault on input signals from the result of estimation we also design checking system verifying outputs of initiator and target devices incorrect phase transition with single stuckat fault occurred between both sequential_circuits is inhibited completely by implementation of the system
portscan detection with sampled netflow,sampling techniques are often used for traffic monitoring in highspeed links in order to avoid saturation of network resources although there is a wide existing research dealing with anomaly_detection few studies analyzed the impact of sampling on the performance of portscan detection_algorithms in this paper we performed several experiments on two already existing portscan detection mechanisms to test whether they are robust enough to different sampling techniques unlike previous works we found that flow sampling is not always better than packet sampling to continue detecting portscans reliably
morphemebased chinese nested named_entity_recognition,named_entity_recognition plays an important role in many natural_language_processing applications while considerable attention has been pain in the past to research issues related to named_entity_recognition few studies have been reported on the recognition of nested named_entities this paper presents a morphemebased method to chinese nested named_entity_recognition to approach this task we first employ the logistic_regression_model to extract multilevel entity morphemes from an entitytagged corpus and thus explore a variety of lexical features under the framework of conditional_random_fields to perform chinese nested named_entity_recognition our experimental results on different data set show that our system is effective for most nested named_entities under evaluation
voice priority_queue scheduling system models for voip over wlans,the voice_over_internet_protocol voip is a delay_sensitive traffic due to realtime applications on networks the assessment of voice flow quality in the voip is an essential requirement for technical and commercial motivation the packets of voip streaming may experience drops because of the competition among the different kinds of traffic flow over the network a voip application is also sensitive to delay and requires the voice packets to arrive on time from the sender to the receiver side without any delay over wlan the scheduling system model for voip traffic is an unresolved problem in this research paper the author proposes a new voice priority_queue vpq scheduling system models and algorithms for the voip over wlans to solve scheduling issues over ipbased networks they present new contributions through the three stages of the vpq the vpq scheduling algorithm is provided as an essential technique in the voip communication_networks to guarantee the qos_requirements the design of the vpq is managed by the limited bandwidth utilization and has been proven to have an efficient performance over wlans
harmonic retrieval using higher order statistics a deterministic formulation,given a single record the authors consider the problem of estimating the parameters of a harmonic signal buried in noise the observed data are modeled as a sinusoidal signal plus additive_gaussian_noise of unknown covariance the authors define novel higher order statisticsreferred to as mixed cumulantsthat can be consistently estimated using a single record and are insensitive to colored gaussian_noise employing fourthorder mixed cumulants they estimate the sinusoid parameters using a consistent nonlinear matching approach the algorithm requires an initial estimate that is obtained from a consistent linear estimator finally the authors examine the performance of the proposed method via simulations 
a comparison between strand spaces and multiset rewriting for security_protocol analysis,formal analysis of security_protocols is largely based on a set of assumptions commonly referred to as the dolevyao model two formalisms that state the basic assumptions of this model are related here strand spaces and multiset rewriting with existential quantification strand spaces provide a simple and economical approach to analysis of completed protocol runs by emphasizing causal interactions among protocol participants the multiset rewriting formalism provides a very precise way of specifying finitelength protocols with unboundedly many instances of each protocol role such as client_server initiator or responder a number of modifications to each system are required to produce a meaningful comparison in particular we extend the strand formalism with a way of incrementally growing bundles in order to emulate an execution of a protocol with parametric strands the correspondence between the modified formalisms directly relates the intruder theory from the multiset rewriting formalism to the penetrator strands the relationship we illustrate here between multiset rewriting specifications and strand spaces thus suggests refinements to both frameworks and deepens our understanding of the dolevyao model
offthepath flow handling mechanism forhighspeed and programmable traffic management,in this paper we propose a highspeed and programmable traffic management mechanism to enable easy and timely innovations a control framework introduced by 4d tesseract or openflow separates control functions from the switch nodes to a control server so that a variety of network control policies can be implemented outside of the switches within this framework we propose a mechanism to enable flexible flowbased traffic management so that a variety of innovative traffic management schemes can be realized perflow traffic management however requires packetbypacket state updates which can spoil this control framework the proposed mechanism consists of a control server that monitors traffic conditions using sampled packets sent from the switches and calculates perflow packet discarding rate and switches that discard incoming packets according to the discarding rate packet sampling and discarding do not require packetbypacket state handling at the switches and thus allows controls from a control server we also propose a mechanism to compress the discarding information using a time series of bloom filters so that frequent control updates are allowed we tested the mechanism with perflow wfq emulation and the simulation results showed very good perflow fairness furthermore we found that the flow table is compressed 600 times smaller and that the processing cost at the server and the switches is small enough for use with 10 gbps links
genetic_algorithms and instruction_scheduling,
plda parallel latent dirichlet allocation for largescale applications,this paper presents plda our parallel_implementation of latent dirichlet allocation on mpi and mapreduce plda smooths out storage and computation bottlenecks and provides fault recovery for lengthy distributed computations we show that plda can be applied to large realworld applications and achieves good scalability we have released  mpiplda  to open source at httpcodegooglecompplda under the apache license
a fast thresholded linear convolution representation of morphological_operations,in this correspondence we present a fast thresholded linear convolution representation of morphological_operations the thresholded linear convolution representation of dilation and erosion is first proposed a comparison of the efficiency of the direct implementation of morphological_operations and the thresholded linear convolution representation of morphological_operations is subsequently conducted mathematical_morphology has emerged as a powerful new tool for image_processing 
facebook users have become much more private a largescale study,we investigate whether facebook users have become more private in recent years specifically we examine if there have been any important trends in the information facebook users reveal about themselves on their public profile pages since early 2010 to this end we have crawled the public profile pages of 14 million new york city nyc facebook users in march 2010 and again in june 2011 we have found that nyc users in our sample have become dramatically more private during this period for example in march 2010 only 172 of users in our sample hid their friend lists whereas in june 2011 just 15 months later 526 of the users hid their friend lists we explore privacy trends for several personal attributes including friend list networks relationship high school name and graduation year gender and hometown we find that privacy trends have become more pronounced for certain demographics finally we attempt to determine the primary causes behind the dramatic decrease in the amount of information facebook users reveal about themselves to the general public
improved compression by coupling of coding_techniques and redundant transform,the techniques commonly used in image_coding jpeg mpeg  have as the main objective to compress as much as possible while retaining most of the information these methods are often based on the use of the discrete_cosine_transform dct and the wavelet_transform wt our purpose is to consider the necessary redundancy to achieve a good reception in the case of heavy interruptions of bits transmission there is however a contradiction between an optimal compression and the redundancy required it is thus necessary to master and compress the information to be transmitted as much as possible and to withstand the noise on the transmission channel this article makes a contribution to this difficult problem its originality resides in the coupling of orthogonal transforms and a redundant transform simulation results are provided using our method and the results are compared with that of dct and wt based methods for lena and mountain images
principal_component_analysis for large scale problems with lots of missing values,principal_component_analysis pca is a wellknown classical data analysis technique there are a number of algorithms for solving the problem some scaling better than others to problems with high_dimensionality they also differ in their ability to handle missing values in the data we study a case where the data are highdimensional and a majority of the values are missing in case of very sparse data overfitting becomes a severe problem even in simple linear_models such as pca we propose an algorithm based on speeding up a simple principal subspace rule and extend it to use regularization and variational_bayesian vb learning the experiments with netflix data confirm that the proposed algorithm is much faster than any of the compared methods and that vbpca method provides more accurate predictions for new data than traditional pca or regularized pca
on the guaranteed error correction capability of ldpc_codes,we investigate the relation between the girth and the guaranteed error correction capability of gammaleft regular ldpc_codes when decoded using the bit flipping serial and parallel_algorithms a lower bound on the number of variable nodes which expand by a factor of at least 3gamma4 is found based on the moore bound an upper bound on the guaranteed correction capability is established by studying the sizes of smallest possible trapping_sets
image recovery using a new nonlinear adaptive_filter based on neural_networks,this work defines a new nonlinear adaptive_filter based on a feedforward_neural_network with the capacity of significantly reducing the additive_noise of an image even though measurements have been carried out using xray images with additive_white_gaussian_noise it is possible to extend the results to other type of images comparisons have been carried out with the weiner filter because it is the most effective option for reducing gaussian_noise in most of the cases image_reconstruction using the proposed method has produced satisfactory results finally some conclusions and future work lines are presented
blob analysis of the head and hands a method for deception detection,behavioral indicators of deception and behavioral state are extremely difficult for humans to analyze blob analysis a method for analyzing the movement of the head and hands based on the identification of skin color is presented this method is validated with numerous skin tones a proofofconcept study is presented that uses blob analysis to explore behavioral state identification in the detection of deception
constrained angular motion_estimation in a gyrofree imu,in this paper we present an extended kalman_filter ekfbased solution for the estimation of the angular motion using a gyrofree inertial measurement unit gfimu built of twelve separate monoaxial accelerometers using such a gfimu produces a vector which we call the angular information vector aiv that consists of 3d angular acceleration terms and six quadratic terms of angular velocities we consider the multiple distributed orthogonal triads of accelerometers that consist of three nonplanar distributed triads equally spaced from a central triad as a specific case to solve during research for the possible filter schemes we derived equality constraints hence we incorporate the constraints in the filter to improve the accuracy of the angular motion_estimation which in turn improves the attitude accuracy direction cosine matrix dcm or quaternion vector
subject searching in online catalogs metaknowledge used by experienced searchers,this paper begins to identify and characterize the knowledge used by experienced librarians while searching for subject information in online catalogs ten experienced librarians performed the same set of six subject searches in an online catalog investigated was the knowledge used to solve retrieval problems this knowledge represents expertise in the use of the catalog data were collected through the use of thinkaloud protocols transaction logs and structured interviews knowledge was defined as knowledge of objects factual knowledge knowledge of events experiential knowledge knowledge of performance process knowledge and metaknowledge metaknowledge is the sense of whole derived from the integration of factual process and experiential knowledge about the search and the conditions under which it is performed the focus of this paper is on metaknowledge for evidence of metaknowledge the data were examined for explanations that participants gave for their actions and observations and for ways that participants evaluated their own progress during the process of searching reasons and explanations given by searchers were related to all phases of the library information_retrieval process from the users receipt of material to policies for collection development and not just events directly related to the performance of a particular search task
injectionlocked clocking a lowpower clock_distribution scheme for highperformance microprocessors,we propose injectionlocked clocking ilc to combat deteriorating clock_skew and jitter and reduce power consumption in highperformance microprocessors in the new clocking scheme injectionlocked oscillators are used as local clock receivers compared to conventional clocking with buffered trees or grids ilc can achieve better power efficiency lower jitter and much simpler skew compensation thanks to its builtin deskewing capability unlike other alternatives ilc is fully compatible with conventional clock_distribution_networks in this paper a quantitative study based on circuit and microarchitecturallevel simulations is performed alpha21264 is used as the baseline processor and is scaled to 013 m and 3 ghz simulations show 20 and 23ps jitter reduction 101 and 17 power savings in two ilc configurations a test chip distributing 5ghz clock is implemented in a standard 018 m cmos technology and achieved excellent jitter performance and a deskew range up to 80 ps
state of the art in modeling and deployment of electronic contracts,modeling and deployment of econtracts is a challenging task because of the involvement of both technological and business aspects there are several frameworks and systems available in the literature some works mainly deal with the automatic handling of paper contracts and others provide monitoring and enactment of contracts because contracts evolve it is useful to have a system that models and enacts the evolution of econtracts
codex exploration of semantic changes between ontology versions,summary life science ontologies substantially change over time to meet the requirements of their users and to include the newest domain_knowledge thus an important task is to know what has been modified between two versions of an ontology diff  this diff should contain all performed changes as compact and understandable as possible we present codex complex ontology diff explorer a tool that allows determining semantic changes between two versions of an ontology which users can interactively analyze in multiple ways availability and implementation codex is available under http wwwizbidecodex and is supported by all major browsers it is implemented in java based on google web toolkit technology additionally users can access a web service interface to use the diff functionality in their applications and analyses
reliability analysis in the early development of realtime reactive_systems,the increasing trend toward complex_software_systems has highlighted the need to incorporate quality_requirements earlier in the development process reliability is one of the important quality indicators of such systems this paper proposes a reliability analysis approach to measure reliability in the early development of realtime reactive_systems rtrs the goal is to provide decision support and detect the first signs of low or decreasing reliability as the system design evolves the analysis is conducted in a formal development environment for rtrs formalized mathematically and illustrated using a traingatecontroller case study
tools for creating documents in preferred format for visually_impaired_people,a suite of tools is described that allow a wordprocessor operator to produce documents in large print braille and on cassette tape so that the documents can subsequently be read by visually_impaired or blind_users the tools integrate with microsoft word are written in visual basic for applications and make use of the word object model
ncac network_congestion analyzer and controller,the stability of the current internet_architecture depends mostly on endtoend tcp_congestion_control mechanisms the network_congestion analyzer and controller ncac is an effort to build a complete user_interface application to ns2 that provides graphical access to most of ns2s functionalities besides the application provides powerful visual tools for monitoring and displaying network_performance metrics calculated by the simulation the application is developed in java to benefit from javas portability and platform independence there are three main parts in ncac 1 ns2 interface 2 network animation and alarm and 3 graph plotting application the functionality of each part is discussed
on the comparison of bilinear cubic_spline and fuzzy interpolation techniques for robotic position measurements,this paper describes a novel technique for position error compensations of robots based on a fuzzy error interpolation method a traditional robot calibration implements either model or modelless methods the compensation of position error in a modelless method is to move the robots endeffector to a target_position in the robot workspace and to find the target_position error online based on the measured neighboring fourpoint errors around the target_position for this purpose a stereo_camera or other measurement device can be used to measure offline the position errors of the robots endeffector at predefined grid points by using the proposed fuzzy error interpolation technique the accuracy of the position error compensation can be greatly improved which is confirmed by the simulation results given in this paper a comparison study among various interpolation methods such as bilinear cubic_spline and the fuzzy error interpolation technique is also made via simulation the simulation results show that more accurate compensation results can be achieved using the fuzzy error interpolation technique compared with its bilinear and cubic_spline counterparts
locally discriminative coclustering,different from traditional onesided clustering_techniques coclustering makes use of the duality between samples and features to partition them simultaneously most of the existing coclustering algorithms focus on modeling the relationship between samples and features whereas the intersample and interfeature relationships are ignored in this paper we propose a novel coclustering algorithm named locally discriminative coclustering ldcc to explore the relationship between samples and features as well as the intersample and interfeature relationships specifically the samplefeature relationship is modeled by a bipartite_graph between samples and features and we apply local linear regression to discovering the intrinsic discriminative structures of both sample space and feature_space for each local patch in the sample and feature spaces a local linear function is estimated to predict the labels of the points in this patch the intersample and interfeature relationships are thus captured by minimizing the fitting errors of all the local linear functions in this way ldcc groups strongly associated samples and features together while respecting the local structures of both sample and feature spaces our experimental results on several benchmark data sets have demonstrated the effectiveness of the proposed method
automatic annotation of drosophila developmental stages using association classification and information_integration,in current developmental research one of the challenging tasks is to understand the spatiotemporal gene expression patterns and the relationships among different genes in situ hybridization ish assay which shows mrna spatiotemporal expression patterns in cells and tissues directly is currently widely utilized in the bench work with the increasing of available ish images automatic annotation systems are highly demanded in this paper an automatic_classification system is proposed for annotating the in situ hybridization images with respect to the developmental stages the embryo is first segmented from the original image registered and normalized the segmented embryo image is then divided into 100 blocks from which the pixel intensity and texture features are extracted and discretized the multiple correspondence analysis mca based association classification_approach is proposed to generate classification_rules for different stages based on the training data set the testing instance is classified by applying the rules generated in the training process and a classification coordination module is incorporated to resolve the conflicts utilizing the weights derived from angle values in the mca procedure experimental results show that our proposed method achieves promising results and outperforms other stateoftheart algorithms
theoretical calculations of homoconjugation equilibrium constants in systems modeling acidbase interactions in side chains of biomolecules using the potential of mean force,the potentials of mean force pmfs were determined for systems forming cationic and anionic homocomplexes composed of acetic acid phenol isopropylamine nbutylamine imidazole and 45methylimidazole and their conjugated bases or acids respectively in three solvents with different polarity and hydrogenbonding propensity acetonitrile an dimethyl sulfoxide dmso and water h 2 o for each pair and each solvent a series of umbrellasampling molecular dynamics simulations with the amber force field explicit solvent and counterions added to maintain a zero net charge of a system were carried out and the pmf was calculated by using the weighted histogram analysis method wham subsequently homoconjugationequilibrium constants were calculated by numerical_integration of the respective pmf profiles in all cases but imidazole stable homocomplexes were found to form in solution which was manifested as the presence of contact minima corresponding to hydrogenbonded species in the pmf curves the calculated homoconjugation constants were found to be greater for complexes with the oho bridge acetic acid and phenol than with the nhn bridge and they were found to decrease with increasing polarity and hydrogenbonding propensity of the solvent ie in the series an  dmso  h 2 o both facts being in agreement with the available experimental data it was also found that interactions with counterions are manifested as the broadening of the contact minimum or appearance of additional minima in the pmf profiles of the acetic acidacetate phenol phenolate system in acetonitrile and the 45methylimidazole45methylimidzole cation conjugated base system in dimethyl sulfoxide
costeffective computeraided manufacturing of prototype parts,computeraided manufacturing cam can be made cost effective even for oneofakind jobs to do so requires reevaluation of computerized numerical_control cnc from the point of view of a computer_system rather than a glorified machine shop good systematization useful software and cooperative cnc shop staff can improve the productivity of a typical cnc shop by a factor of five
datadriven design of hmm topology for online handwriting_recognition,although hmm is widely used for online handwriting_recognition there is no simple and wellestablished method of designing the hmm topology we propose a datadriven systematic method to design hmm topology data samples in a single pattern class are structurally simplified into a sequence of straightline segments then the resulting multiple models of the class are combined to form an architecture of a multiple parallelpath hmm which behaves as single hmm to avoid excessive growing of the number of the states parameter trying is applied such that structural similarity among patterns is reflected experiments on online hangul recognition showed about 19 of error reductions compared to the intuitive deisgn method
fast block size prediction for mpeg2 to h264avc transcoding,one objective in mpeg2 to h264 transcoding is to improve the h264 compression_ratio by using more accurate h264 motion_vectors motion reestimation is by far the most time consuming process in video_transcoding and improving the searching speed is a challenging problem we introduce a new transcoding scheme that uses the mpeg2 dct_coefficients to predict the block size partitioning for h264 performance evaluations have shown that for the same ratedistortion performance our proposed scheme achieves an impressive reduction in the computational complexity of more than 82 compared to the full range motion_estimation used by h264
a curvaturebased approach to contour motion_estimation,we present a novel method of velocity field estimation for points on moving contours in an image_sequence the method determines the corresponding point in the next image frame by considering curvature changes at each point on a contour in previous methods there are errors in estimation for the points which have low curvature variations since those methods compute the solutions by approximating the normal component of optical_flow the proposed method computes optical_flow vectors of contour points by minimizing the curvature changes as a first step snakes are used to locate smooth curves in 2d imagery then the extracted curves are tracked continuously we excluded the rearranging process in snakes and allowed the snaxel distance to vary each point on a contour has a unique corresponding point in the nest frame experimental results showed that the proposed method computes accurate optical_flow vectors for various moving contours
the case for timingcentric distributed software invited paper,this paper makes the case that the time is right to introduce temporal semantics into programming_models for cyberphysical systems specifically we argue for a programming_model called ptides that provides a coordination language rooted in discreteevent semantics supported by a lightweight runtime framework and tools for verifying concurrent_software components ptides leverages recent innovations in network time_synchronization to deliver distributed realtime systems with determinate concurrent semantics decentralized and robust_control and the potential for rigorous schedulability_analysis
